corpus,domain,scenario_id,arm,cached,category,item,desc_match,question_match,answer_match,output_match,gaps_match,label,label_field,label_exact
generic_questions_v1,semiconductor_work,S01,generic,no,activities,Review test request and conditions,none,none,field,exact,field,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S01,generic,no,activities,Prepare evaluation setup,field,scatter,field,exact,field,carried,carried,unsupported
generic_questions_v1,semiconductor_work,S01,generic,no,activities,Run verification test,field,field,field,exact,field,carried,carried,unsupported
generic_questions_v1,semiconductor_work,S01,generic,no,activities,Collect result files,none,none,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S01,generic,no,activities,Check result validity,field,none,field,exact,none,carried,carried,unsupported
generic_questions_v1,semiconductor_work,S01,generic,no,activities,Summarize findings in report,none,none,none,none,none,missed,missed,missed
generic_questions_v1,semiconductor_work,S01,generic,no,activities,Share report for review,none,scatter,field,field,scatter,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S01,generic,no,activities,Review report and request clarification if needed,none,none,field,scatter,field,recovered,dropped,missed
generic_questions_v1,semiconductor_work,S01,generic,no,actors,verification engineer,field,field,exact,exact,exact,carried,carried,recovered
generic_questions_v1,semiconductor_work,S01,generic,no,actors,review engineer,none,none,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S01,generic,no,actors,project owner,none,none,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S01,generic,no,systems,test execution tool,none,none,scatter,field,field,recovered,unsupported,missed
generic_questions_v1,semiconductor_work,S01,generic,no,systems,result repository,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S01,generic,no,systems,report template,none,field,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S01,generic,no,systems,email or collaboration tool,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S01,generic,no,inputs,test request,none,none,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S01,generic,no,inputs,test condition,none,field,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S01,generic,no,inputs,sample identifier,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S01,generic,no,inputs,evaluation setup guide,none,scatter,exact,exact,field,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S01,generic,no,outputs,test result files,field,scatter,field,field,field,carried,carried,missed
generic_questions_v1,semiconductor_work,S01,generic,no,outputs,summary report,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S01,generic,no,outputs,issue list,none,none,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S01,generic,no,outputs,review notification,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S01,generic,no,decisions,Are the result files complete and readable?,none,none,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S01,generic,no,decisions,Do the results contain abnormal patterns?,none,none,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S01,generic,no,exceptions,missing setup information,none,scatter,scatter,scatter,scatter,recovered,missed,missed
generic_questions_v1,semiconductor_work,S01,generic,no,exceptions,test execution failure,none,none,none,field,none,unsupported,unsupported,missed
generic_questions_v1,semiconductor_work,S01,generic,no,exceptions,incomplete result files,none,none,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S01,generic,no,exceptions,unclear abnormal pattern,none,none,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S01,generic,no,automation_targets,A4: Collect result files,none,none,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S01,generic,no,automation_targets,A5: Check result validity,field,none,field,field,none,carried,carried,missed
generic_questions_v1,semiconductor_work,S01,generic,no,automation_targets,A6: Summarize findings in report,none,none,none,none,none,missed,missed,missed
generic_questions_v1,semiconductor_work,S02,generic,no,activities,Confirm measurement request and wafer identifier,none,none,field,field,scatter,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S02,generic,no,activities,Select suitable measurement equipment,none,none,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S02,generic,no,activities,Check equipment availability and reserve slot,none,none,field,exact,none,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S02,generic,no,activities,Prepare wafer according to equipment procedure,none,none,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S02,generic,no,activities,Run measurement recipe,none,none,field,exact,none,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S02,generic,no,activities,Validate measurement output,none,field,field,exact,field,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S02,generic,no,activities,Upload result and notify requester,none,none,field,scatter,none,recovered,dropped,missed
generic_questions_v1,semiconductor_work,S02,generic,no,actors,measurement engineer,field,field,exact,exact,field,carried,carried,recovered
generic_questions_v1,semiconductor_work,S02,generic,no,actors,equipment owner,none,none,exact,none,exact,dropped,dropped,dropped
generic_questions_v1,semiconductor_work,S02,generic,no,actors,requester,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S02,generic,no,systems,measurement equipment,none,none,field,exact,scatter,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S02,generic,no,systems,equipment reservation system,none,none,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S02,generic,no,systems,measurement result repository,field,field,exact,exact,field,carried,carried,recovered
generic_questions_v1,semiconductor_work,S02,generic,no,inputs,measurement request,none,none,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S02,generic,no,inputs,wafer identifier,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S02,generic,no,inputs,measurement recipe,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S02,generic,no,inputs,equipment availability,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S02,generic,no,outputs,measurement result,field,exact,exact,exact,exact,carried,carried,recovered
generic_questions_v1,semiconductor_work,S02,generic,no,outputs,equipment usage record,none,none,exact,exact,scatter,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S02,generic,no,outputs,request completion notice,none,none,exact,exact,scatter,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S02,generic,no,decisions,Which equipment is required for the requested measurement?,none,none,scatter,scatter,none,recovered,missed,missed
generic_questions_v1,semiconductor_work,S02,generic,no,decisions,Is the equipment available and qualified?,none,none,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S02,generic,no,decisions,Is the measurement output valid?,none,field,field,exact,field,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S02,generic,no,exceptions,equipment unavailable,none,none,none,exact,none,unsupported,unsupported,unsupported
generic_questions_v1,semiconductor_work,S02,generic,no,exceptions,wafer information mismatch,none,none,none,scatter,none,unsupported,missed,missed
generic_questions_v1,semiconductor_work,S02,generic,no,exceptions,recipe not approved,none,none,field,scatter,none,recovered,dropped,missed
generic_questions_v1,semiconductor_work,S02,generic,no,exceptions,invalid measurement output,none,field,exact,exact,field,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S02,generic,no,automation_targets,A2: Select suitable measurement equipment,none,none,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S02,generic,no,automation_targets,A3: Check equipment availability and reserve slot,none,none,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S02,generic,no,automation_targets,A6: Validate measurement output,none,field,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S03,generic,no,activities,Identify required sample and evaluation purpose,none,scatter,field,exact,none,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S03,generic,no,activities,Submit sample transfer request,none,field,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S03,generic,no,activities,Approve transfer request,none,field,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S03,generic,no,activities,Physically confirm sample,none,none,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S03,generic,no,activities,Move sample to target location,none,none,scatter,scatter,none,recovered,missed,missed
generic_questions_v1,semiconductor_work,S03,generic,no,activities,Update sample status after evaluation,field,field,field,exact,field,carried,carried,unsupported
generic_questions_v1,semiconductor_work,S03,generic,no,activities,Submit disposal request for completed sample,none,field,field,scatter,scatter,recovered,dropped,missed
generic_questions_v1,semiconductor_work,S03,generic,no,activities,Approve and record disposal,none,field,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S03,generic,no,actors,sample requester,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S03,generic,no,actors,sample manager,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S03,generic,no,actors,verification engineer,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S03,generic,no,actors,approver,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S03,generic,no,systems,sample tracking sheet,none,none,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S03,generic,no,systems,transfer request form,none,field,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S03,generic,no,systems,approval system,none,scatter,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S03,generic,no,systems,storage location registry,none,none,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S03,generic,no,inputs,sample identifier,none,none,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S03,generic,no,inputs,evaluation purpose,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S03,generic,no,inputs,target location,none,none,none,scatter,none,unsupported,missed,missed
generic_questions_v1,semiconductor_work,S03,generic,no,inputs,disposal reason,none,none,none,none,none,missed,missed,missed
generic_questions_v1,semiconductor_work,S03,generic,no,outputs,transfer approval,none,scatter,field,scatter,field,recovered,dropped,missed
generic_questions_v1,semiconductor_work,S03,generic,no,outputs,updated sample status,none,none,field,exact,scatter,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S03,generic,no,outputs,disposal record,none,field,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S03,generic,no,outputs,physical confirmation note,none,none,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S03,generic,no,decisions,Is the sample available and correctly identified?,none,none,none,scatter,none,unsupported,missed,missed
generic_questions_v1,semiconductor_work,S03,generic,no,decisions,Is disposal allowed after evaluation?,none,field,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S03,generic,no,exceptions,sample identifier mismatch,none,none,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S03,generic,no,exceptions,missing physical sample,none,field,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S03,generic,no,exceptions,approval delay,none,none,none,scatter,none,unsupported,missed,missed
generic_questions_v1,semiconductor_work,S03,generic,no,exceptions,retention requirement,none,none,exact,scatter,scatter,recovered,dropped,dropped
generic_questions_v1,semiconductor_work,S03,generic,no,automation_targets,A2: Submit sample transfer request,none,field,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S03,generic,no,automation_targets,A6: Update sample status after evaluation,field,field,field,exact,field,carried,carried,unsupported
generic_questions_v1,semiconductor_work,S03,generic,no,automation_targets,A7: Submit disposal request for completed sample,none,field,field,scatter,scatter,recovered,dropped,missed
generic_questions_v1,semiconductor_work,S04,generic,no,activities,Register defect issue with initial evidence,none,none,field,scatter,none,recovered,dropped,missed
generic_questions_v1,semiconductor_work,S04,generic,no,activities,Classify issue severity and affected scope,none,none,none,scatter,scatter,unsupported,missed,missed
generic_questions_v1,semiconductor_work,S04,generic,no,activities,Notify related teams and assign owners,none,none,field,exact,none,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S04,generic,no,activities,Define root-cause hypotheses,none,none,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S04,generic,no,activities,Plan and run follow-up experiment,none,scatter,field,exact,scatter,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S04,generic,no,activities,Review experiment result and select improvement action,none,scatter,field,scatter,field,recovered,dropped,missed
generic_questions_v1,semiconductor_work,S04,generic,no,activities,Assess customer risk,none,none,field,exact,scatter,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S04,generic,no,activities,Share final report and action items,none,field,field,exact,none,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S04,generic,no,actors,issue owner,none,none,exact,exact,exact,recovered,recovered,recovered
